year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,lower_solar,upper_solar,moz_hydro,zim_hydro,zam_hydro,biomass,wind,solar,hydro,BTSW_load,MAL_load,MOZ_load,NAM_load,ZAM_load,ZIM_load,zam_oil,nam_oil,mal_gas,zam_coal,zim_coal,nam_coal,btsw_coal,zam_biomass,mal_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,chi_hydro,cor_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar
2,3,1,12,45490039.34593468,0.0,0.0,36765.78273832,29247.397476399998,3.8121727996554e-12,481.0870244196241,1800.0,0.0,0.0,2221.0,376.9703198571758,1880.3373288582786,0.0,0,0.0,8218.307648715454,310.1836766,276.8317111,1905.518967,174.5009229,1793.270684,1050.193305,0.0,7.904787935331115e-14,0.0,0.0,920.0,120.0,746.0000000000001,0.0,0.0,85.02131607935766,604.9586321014885,590.7692307692307,129.0,31.0,118.0,470.58814990820184,376.9703198571758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
2,3,1,13,45490039.34593468,0.0,0.0,36571.86638731001,29056.764964737857,-8.276712648580542e-13,467.997024419624,1800.0,0.0,0.0,2221.0,368.32353747974787,1883.0673245086628,0.0,0,0.0,8212.39086198841,310.1836766,276.1394586,1891.165395,174.0645615,1793.270684,1050.193305,0.0,3.0531133177191805e-13,0.0,0.0,920.0,120.0,746.0,0.0,0.0,102.92825008620765,423.471042471042,768.0,129.0,31.0,118.0,459.668031951413,368.32353747974787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
2,3,1,14,45490039.34593468,0.0,0.0,35825.88855917,28617.700547074004,4.251821117406962e-12,428.227024419624,1800.0,0.0,0.0,2179.17600104739,258.00880591976005,1707.5779557770115,0.0,0,0.0,7884.762762744161,284.8485804,268.2131709,1891.165395,169.0682245,1646.800419,964.4159079,0.0,2.041478097680738e-12,0.0,0.0,920.0,120.0,712.690661028598,0.0,0.0,95.95394210778824,392.85639130323426,768.0,129.0,31.0,118.0,321.7676223659891,258.00880591976005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2030.1760010473897,0.0,0.0,0.0
2,3,1,15,45490039.34593468,0.0,0.0,35233.39110537,28065.33584452389,7.405187574249794e-14,421.7074344985699,1800.0000000000005,0.0,0.0,2174.695974522004,202.74213601320884,1685.6711567882228,0.0,0,0.0,7803.109267323435,275.2623367,265.4787761,1905.408836,167.3445981,1591.379289,931.9596257,0.0,-9.168221737354543e-13,0.0,0.0,920.0,120.0,682.6030288847273,0.0,0.0,124.74012474012473,411.8166024089381,768.0,129.0,31.0,118.0,252.11442963916016,202.74213601320884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.695974522004,0.0,0.0,0.0
2,3,1,16,45490039.34593468,0.0,0.0,34903.69043337,27857.521830921156,-8.674172491396348e-13,384.940410078946,1800.0000000000005,0.0,0.0,2162.1250667794766,186.32785498241591,1602.8042246649832,0.0,0,0.0,7691.257146426877,266.3608147,265.4787761,1879.037231,167.3445981,1539.916754,901.8216157,0.0,-5.562217353372034e-13,0.0,0.0,920.0,120.0,688.8079521664507,0.0,0.0,162.16216216216216,311.6204022490643,768.0,129.0,31.0,118.0,232.02166025375683,186.32785498241591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.1250667794766,0.0,0.0,0.0
2,3,1,17,45490039.34593468,0.0,0.0,34939.38101515,27870.58415968995,2.5435209494162336e-13,371.35041007894597,1800.0,0.0,0.0,2134.5974611918455,212.40571679863857,1643.3660524027277,0.0,0,0.0,7730.369230393212,275.2623367,262.3636403,1859.710245,165.3809717,1591.379289,931.9596257,0.0,-3.197442310920451e-13,0.0,0.0,920.0,120.0,691.8614839005512,0.0,0.0,124.74012474012473,405.1065229237836,719.8177414866328,129.0,31.0,118.0,264.70166325218656,212.40571679863857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.5974611918455,0.0,0.0,0.0
2,3,1,18,45490039.34593468,0.0,0.0,35289.226196719996,28104.184061022675,2.1510571102112408e-12,377.8700000000001,1800.0000000000005,0.0,0.0,2105.9293591949972,270.5759708254986,1751.9554162216402,0.0,0,0.0,7868.460746242135,298.5432242,254.4719672,1858.492074,160.4064541,1725.973519,1010.782059,0.0,7.349676423018536e-14,0.0,0.0,920.0,120.0,689.9135098835882,0.0,0.0,162.16216216216216,526.6384798009187,596.6484070121078,129.0,31.0,118.0,337.5063672464515,270.5759708254986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.9293591949975,0.0,0.0,0.0
2,3,1,19,45490039.34593468,0.0,0.0,36201.1173424,28709.026618746757,-5.264677582772492e-12,417.6400000000001,1800.0000000000005,0.0,0.0,2203.66538446673,351.74876207314816,1910.0623075781846,4.199999999999998,0,0.0,8205.476454118063,319.769929,257.2063621,1961.870374,162.1300804,1848.691864,1082.649617,0.0,0.0,0.0,0.0,920.0,120.0,716.5453125241141,0.0,4.199999999999998,162.16216216216216,671.5384615384614,508.6034064571739,129.0,31.0,118.0,438.75827742038695,351.74876207314816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.66538446673,0.0,0.0,0.0
2,3,1,20,45490039.34593468,0.0,0.0,38112.824019809996,30109.176332425777,296.79999999999995,457.41000000000014,1800.0,0.0,0.0,2221.0,457.27339069509264,2112.993271268258,8.399999999999999,0,0.0,8531.266661963351,335.5187641,276.1394586,2056.290357,174.0645615,1939.740899,1135.970673,0.0,59.9000000000001,0.0,0.0,920.0,120.0,746.0000000000001,0.0,8.399999999999999,162.16216216216216,873.0,378.7171914182219,129.0,31.0,118.0,570.1139176878743,457.27339069509264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
2,3,1,21,45490039.34593468,0.0,0.0,36937.72100410001,28862.757108634207,296.79999999999995,497.1800000000002,1800.0,0.0,0.0,2221.0,459.24680732211465,2047.287439827397,8.4,0,0.0,8467.534247149513,323.8783204,281.9889945,2056.501291,177.7518176,1872.443785,1096.559456,0.0,59.900000000000034,0.0,0.0,920.0,120.0,746.0000000000001,0.0,8.4,162.16216216216216,767.1275397102426,416.0478459439428,129.0,31.0,118.0,572.9498920110497,459.24680732211465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
2,3,1,22,45490039.34593468,0.0,0.0,34349.0984029,26989.642158747683,-2.7988722450800196e-13,457.41000000000014,1800.0,0.0,0.0,2189.1963703951105,321.4727651254803,1638.952558945588,4.2,0,0.0,7882.908276819823,275.2623367,262.0521288,2023.873149,165.1846104,1591.379289,931.9596257,0.0,-5.81756864903582e-14,0.0,0.0,920.0,120.00000000000003,746.0,0.0,4.2,113.5135135135135,536.9892777971697,457.30475717399685,129.0,31.0,118.0,402.14501046090766,321.4727651254803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.1963703951103,0.0,0.0,0.0
2,3,1,23,45490039.34593468,0.0,0.0,31858.68288318,24910.415616015205,-4.546363285840016e-14,417.6400000000001,1800.0,0.0,0.0,1876.373608037053,225.03093558783618,1472.3591735274235,0.0,0,0.0,7313.763717152312,248.5577708,234.5350963,1954.716745,147.8392436,1436.991685,841.5455956,0.0,6.178391132038996e-14,0.0,0.0,920.0,120.0,746.0,0.0,0.0,79.45945945945945,387.8108062029225,594.4961843261959,129.0,31.0,118.0,281.59272353884575,225.03093558783618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.373608037053,0.0,0.0,0.0
2,3,1,24,45490039.34593468,0.0,0.0,30246.207999790004,23490.747996347203,-5.795364188543317e-14,377.8700000000001,1800.0,0.0,0.0,1711.1682831004086,157.5216549114853,1421.2953086570753,0.0,0,0.0,7029.985246668971,255.4050927,211.1369634,1858.193039,133.0902259,1476.578234,864.7286711,0.0,-5.795364188543317e-14,0.0,0.0,920.0,120.0,688.1762105732712,0.0,0.0,55.621621621621614,271.4675643420457,768.0,129.0,31.0,118.0,197.20612269340808,157.5216549114853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.1682831004086,0.0,0.0,0.0
