year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,lower_solar,upper_solar,moz_hydro,zim_hydro,zam_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,BTSW_load,MAL_load,MOZ_load,NAM_load,MIM_load,ZAM_load,zam_oil,nam_oil,mal_gas,zam_coal,zim_coal,nam_coal,btsw_coal,zam_biomass,mal_biomass
10,10,0,21,50876556.05014666,0.0,0.0,39139.01837953,33549.45230219454,0.0,0.0,1800.0,0.0,0.0,2072.0,0.0,873.0,0.0,,,,,,0.0,873.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,361.0117945,261.3630031,2090.782225,164.7502199,2087.124231,1222.282789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,22,50876556.05014666,0.0,0.0,35994.38676411,31022.850555794546,0.0,0.0,1800.0,0.0,0.0,2072.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,325.3563188,238.7535479,2052.888013,150.4983454,1880.988564,1101.563536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,23,50876556.05014666,0.0,0.0,33215.3749007,29478.14781476431,0.0,0.0,1800.0,0.0,0.0,612.365591397851,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.365591397851,0.0,0.0,0.0,300.3974734,216.8506366,1981.056148,136.691841,1736.693525,1017.060017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,24,50876556.05014666,0.0,0.0,31135.048616139997,24517.794826030386,1.2789769243681803e-13,0.0,1800.0,0.0,0.0,2072.0,0.0,1251.7171914182218,0.0,,,,,,0.0,873.0,378.7171914182219,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,284.3524997,196.3608128,1877.093418,123.7760765,1643.932418,962.7363203,0.0,1.2789769243681803e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,1,50239773.89890341,0.0,0.0,29623.148705659998,22240.67383446431,1.7985612998927536e-13,0.0,1800.0,0.0,0.0,1820.986213113385,373.63844086021504,1771.7271393025878,0.0,,,,,,162.16216216216216,755.177419354839,480.7491169253717,129.0,373.63844086021504,373.63844086021504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820.986213113385,0.0,0.0,0.0,283.4611034,192.8280849,1836.649559,121.5492208,1638.778973,959.7183073,0.0,1.7985612998927536e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,2,50239773.89890341,0.0,0.0,29219.38472439,22446.806834949297,3.1086244689504383e-15,0.0,1800.0,0.0,0.0,2072.0,0.0,1251.7171914182218,0.0,,,,,,0.0,873.0,378.7171914182219,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,275.4386279,185.762629,1804.673747,117.0955093,1592.398485,932.5564974,0.0,3.1086244689504383e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,3,50239773.89890341,0.0,0.0,29145.883958500002,22359.6764515983,1.6076029396572267e-13,0.0,1800.0,0.0,0.0,2072.0,0.0,1259.387287320576,0.0,,,,,,7.670095902353978,873.0,378.7171914182219,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,278.112794,182.2299011,1788.624843,114.8686536,1607.858692,941.6104597,0.0,1.6076029396572267e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,4,50239773.89890341,0.0,0.0,29323.716337600003,22559.5977681493,1.0302869668521453e-13,0.0,1800.0,0.0,0.0,2072.0,0.0,1251.7171914182218,0.0,,,,,,0.0,873.0,378.7171914182219,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,279.8955638,180.1102607,1780.423121,113.5325379,1618.165451,947.6464089,0.0,1.0302869668521453e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,5,50239773.89890341,0.0,0.0,30896.09702717,24771.9907202919,-3.232969447708456e-13,0.0,1800.0,0.0,0.0,1943.1952550269762,0.0,873.0,0.0,,,,,,0.0,873.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.1952550269762,0.0,0.0,0.0,280.7869601,181.8766247,1778.261857,114.6459657,1623.318898,950.6644218,0.0,-3.232969447708456e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,6,50239773.89890341,0.0,0.0,34522.008916269995,30741.090720291897,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,768.0,0.0,,,,,,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.1577677,181.8766247,1765.416305,114.6459657,1700.619797,995.9341563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
