year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,zrb_solar,zrb_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar
10,3,8,12,44202768.322010696,0.0,0.0,37264.229601319996,27346.984312019307,0.0,0.0,1800.0000000000005,2921.6343316828725,4328.034979346406,0.0,5679.7221296,0.0,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,0.0,0.0,2054.6933467203767,0.0,0.0,0.0,677.0,334.7009889128708,430.9361623562351,1773.454636853151,436.00482260626103,0.0,0.0
10,3,8,13,44202768.322010696,0.0,0.0,37013.299250309996,27848.716961094244,0.0,0.0,1800.0,2488.946333219151,3987.7142735892567,0.0,5664.2399436999995,0.0,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,0.0,1440.71824018092,0.0,0.0,0.0,677.0,213.08577660404535,555.6799391458088,1716.9113055669898,492.548153892422,0.0,0.0
10,3,8,14,44202768.322010696,0.0,0.0,36278.32468297,28325.358909699833,0.0,0.0,1800.0,539.6957262324449,4665.755832143354,0.0,5379.9128215,0.0,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,0.0,170.2543683076323,0.0,0.0,0.0,677.0,609.2915579147124,158.72898127582053,1998.74708281042,210.71237664899212,0.0,0.0
10,3,8,15,44202768.322010696,0.0,0.0,35847.59238827001,28598.82515741163,0.0,0.0,1800.0,628.844878643372,3837.4838972098187,0.0,5287.0047445,0.0,0.0,0.0,0.0,0.0,0.0,344.836820691668,129.0,0.0,0.0,335.05807741361156,0.0,0.0,0.0,677.0,614.6470765181505,163.29518092068304,2072.0,130.49162030907743,0.0,0.0
10,3,8,16,44202768.322010696,0.0,0.0,35586.38342827,27776.337311783416,0.0,0.0,1800.0,199.71136519832174,4806.717191418222,0.0,5165.2747845,0.0,0.0,0.0,0.0,0.0,873.0,378.7171914182219,129.0,0.0,0.0,93.55753705237277,0.0,0.0,0.0,677.0,677.0,87.97430422719134,2072.0,18.179523918757646,0.0,0.0
10,3,8,17,44202768.322010696,0.0,0.0,35711.84829805001,29363.403565459423,0.0,0.0,1800.0,0.0,3555.0,0.0,5236.227391300001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,8,18,44202768.322010696,0.0,0.0,36096.80652792,31851.57462477839,0.0,0.0,1800.0,0.0,1483.0,0.0,5471.541628699999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,0.0,0.0,0.0,0.0
10,3,8,19,44202768.322010696,0.0,0.0,37184.358051,30237.030663371515,0.0,0.0,1800.0,0.0,4273.275337709529,0.0,5806.7709351,0.0,0.0,0.0,0.0,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,627.2753377095286,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,8,20,44202768.322010696,0.0,0.0,38996.03261561,33590.873097956726,0.0,0.0,1800.0,0.0,2878.0,0.0,6100.769308999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,8,21,44202768.322010696,0.0,0.0,37570.3330735,31281.57629567563,0.0,0.0,1800.0,0.0,3646.0,0.0,5985.8177339,0.0,0.0,0.0,0.0,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,8,22,44202768.322010696,0.0,0.0,34979.8786858,29249.085065729698,0.0,0.0,1800.0,0.0,2878.0,0.0,5399.882422500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,8,23,44202768.322010696,0.0,0.0,32686.099301880004,26654.739626967614,0.0,0.0,1800.0,0.0,2992.5839426323873,0.0,4999.788555,0.0,0.0,0.0,0.0,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,741.5839426323871,0.0,0.0,0.0
10,3,8,24,44202768.322010696,0.0,0.0,31222.269024790003,22058.568197195153,1.2434497875801753e-14,0.0,1800.0,0.0,5544.23615392912,0.0,4938.4702511,1.2434497875801753e-14,0.0,0.0,0.0,127.51896251089786,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0
10,3,9,1,43724333.36577416,0.0,0.0,30160.955349590004,20876.558862192538,-4.884981308350689e-14,0.0,1800.0,0.0,5578.879353580383,0.0,4789.2641026,-4.884981308350689e-14,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0
