year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,zrb_solar,zrb_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,biomas
2,3,7,3,45033399.36815154,0.0,0.0,29767.466822630005,20451.165860073612,-1.3322676295501878e-14,0.0,1800.0,0.0,5578.879353580383,,4730.0761726,-1.3322676295501878e-14,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,0.0,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,0.0,0.0,0.0,0.0
2,3,7,4,45033399.36815154,0.0,0.0,29901.95509178,20490.438493534108,-1.376676550535194e-13,0.0,1800.0,106.12008994491512,5578.879353580383,,4784.889015199999,-1.376676550535194e-13,0.0,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,610.0,462.0,39.76558702005953,0.0,0.0,0.0,677.0,677.0,0.0,2072.0,66.3545029248556,0.0,0.0,0.0
2,3,7,5,45033399.36815154,0.0,0.0,31395.68998953,23169.233606387115,-1.1102230246251565e-14,0.0,1800.0,1109.747715603468,3973.3051531769424,,4827.0623693,-1.1102230246251565e-14,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,107.1236221764869,0.0,0.0,0.0,677.0,330.5322080436242,438.4665366298451,1645.3019026622762,564.1575567971357,0.0,0.0,0.0
2,3,7,6,45033399.36815154,0.0,0.0,34714.93460659,26488.18568400589,0.0,0.0,1800.0,2302.4065404617522,3061.066809683667,,4893.602869,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,386.7061014932746,0.0,0.0,0.0,608.8919935065954,0.0,837.944753215095,1131.7037737060298,1077.7556857533825,0.0,0.0,0.0
2,3,7,7,45033399.36815154,0.0,0.0,37242.89963788,28062.85412608912,0.0,0.0,1800.0,4027.7702968925096,2482.969780131825,,5208.8870023,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,1535.7656240817448,0.0,0.0,0.0,339.2697428301806,0.0,1105.774208181955,823.2289948306023,1386.2304646288096,0.0,0.0,0.0
2,3,7,8,45033399.36815154,0.0,0.0,37648.243219280004,28410.96495878289,0.0,0.0,1800.0,5116.54638838653,1484.2921331332248,,5834.1387291,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,1625.192772716865,0.0,0.0,0.0,163.821090662183,0.0,1281.8941562102534,-2.458093788575429e-13,2209.4594594594123,0.0,0.0,0.0
2,3,7,9,45033399.36815154,0.0,0.0,38665.04656049999,29083.737408854387,0.0,0.0,1800.0,5602.117643588488,1425.1952832327397,,5809.1040434999995,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,2052.6884793399804,0.0,0.0,0.0,104.72424076169773,0.0,1339.9697047890957,0.0,2209.459459459412,0.0,0.0,0.0
2,3,7,10,45033399.36815154,0.0,0.0,38698.01555820999,29991.092729350323,0.0,0.0,1800.0,4683.0207342558715,1472.579031755915,,5637.056333099999,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,1180.2130680699179,0.0,0.0,0.0,152.10798928487316,0.0,1293.3482067265409,-2.458093788575429e-13,2209.4594594594123,0.0,0.0,0.0
2,3,7,11,45033399.36815154,0.0,0.0,38930.00284103001,29369.16651552556,0.0,0.0,1800.0,5309.261119804174,1719.0619225404796,,5679.5296983,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,2053.011100483404,0.0,0.0,0.0,398.59088006943784,0.0,1046.7905598613577,-2.458093788575429e-13,2209.4594594594123,0.0,0.0,0.0
2,3,7,12,45033399.36815154,0.0,0.0,39012.50760132,29457.39778949872,0.0,0.0,1800.0,4975.637210911227,2053.648892908913,,5679.7221296,0.0,0.0,0.0,0.0,0.0,423.471042471042,768.0,129.0,0.0,0.0,2052.989351016838,0.0,0.0,0.0,637.6006270956535,0.0,808.7656237771932,95.57722334221694,2113.882236117195,0.0,0.0,0.0
